reaction	linear_coefficient
MAR08500	[np.float64(6.570980090049546e-05)]
MAR08501	[np.float64(6.570980090049546e-05)]
MAR08502	[np.float64(6.570980090049546e-05)]
MAR08503	[np.float64(6.570980090049546e-05)]
MAR08504	[np.float64(6.570980090049546e-05)]
MAR08506	[np.float64(6.570980090049546e-05)]
MAR08507	[np.float64(6.570980090049546e-05)]
MAR08508	[np.float64(6.570980090049546e-05)]
MAR08509	[np.float64(6.570980090049546e-05)]
MAR08511	[np.float64(6.570980090049546e-05)]
MAR08512	[0.004840015865748459]
MAR08514	[0.004071677923888144]
MAR08516	[np.float64(6.570980090049546e-05)]
MAR08517	[7.735074205726712e-05]
MAR04280	[np.float64(6.570980090049546e-05)]
MAR00153	[np.float64(6.570980090049546e-05)]
MAR03212	[np.float64(6.570980090049546e-05)]
MAR03797	[np.float64(6.570980090049546e-05)]
MAR03800	[np.float64(6.570980090049546e-05)]
MAR04105	[np.float64(6.570980090049546e-05)]
MAR04106	[np.float64(6.570980090049546e-05)]
MAR04107	[np.float64(6.570980090049546e-05)]
MAR04282	[np.float64(6.570980090049546e-05)]
MAR04331	[np.float64(6.570980090049546e-05)]
MAR04459	[np.float64(6.570980090049546e-05)]
MAR04460	[np.float64(6.570980090049546e-05)]
MAR04464	[7.735074205726712e-05]
MAR04497	[3.9141704171673964e-05]
MAR04741	[np.float64(6.570980090049546e-05)]
MAR08078	[7.735074205726712e-05]
MAR09803	[7.735074205726712e-05]
MAR09804	[np.float64(6.570980090049546e-05)]
MAR00718	[np.float64(6.570980090049546e-05)]
MAR00719	[np.float64(6.570980090049546e-05)]
MAR01434	[np.float64(6.570980090049546e-05)]
MAR01436	[np.float64(6.570980090049546e-05)]
MAR03163	[np.float64(6.570980090049546e-05)]
MAR04461	[np.float64(6.570980090049546e-05)]
MAR04604	[np.float64(6.570980090049546e-05)]
MAR05351	[np.float64(6.570980090049546e-05)]
MAR07709	[np.float64(6.570980090049546e-05)]
MAR04052	[6.346528985521397e-05]
MAR04304	[3.9141704171673964e-05]
MAR04350	[0.004071677923888144]
MAR04351	[np.float64(6.570980090049546e-05)]
MAR04352	[np.float64(6.570980090049546e-05)]
MAR04354	[np.float64(6.570980090049546e-05)]
MAR04398	[np.float64(6.570980090049546e-05)]
MAR04404	[5.5199246185587674e-05]
MAR04473	[3.108425544270559e-05]
MAR04474	[3.108425544270559e-05]
MAR04476	[np.float64(6.570980090049546e-05)]
MAR04477	[np.float64(6.570980090049546e-05)]
MAR04501	[5.5199246185587674e-05]
MAR04565	[2.9306643773020742e-05]
MAR04567	[3.011530066619965e-05]
MAR09799	[np.float64(6.570980090049546e-05)]
MAR09800	[np.float64(6.570980090049546e-05)]
MAR04623	[np.float64(6.570980090049546e-05)]
MAR04625	[np.float64(6.570980090049546e-05)]
MAR04710	[np.float64(6.570980090049546e-05)]
MAR04841	[np.float64(6.570980090049546e-05)]
MAR08074	[0.004071677923888144]
MAR08653	[np.float64(6.570980090049546e-05)]
MAR03998	[np.float64(6.570980090049546e-05)]
MAR04000	[np.float64(6.570980090049546e-05)]
MAR04002	[np.float64(6.570980090049546e-05)]
MAR04004	[np.float64(6.570980090049546e-05)]
MAR04010	[np.float64(6.570980090049546e-05)]
MAR04081	[np.float64(6.570980090049546e-05)]
MAR04082	[np.float64(6.570980090049546e-05)]
MAR04012	[np.float64(6.570980090049546e-05)]
MAR04014	[np.float64(6.570980090049546e-05)]
MAR04020	[3.952935067578193e-05]
MAR04022	[np.float64(6.570980090049546e-05)]
MAR04038	[3.9141704171673964e-05]
MAR04040	[2.911450790225425e-05]
MAR04042	[np.float64(6.570980090049546e-05)]
MAR04046	[np.float64(6.570980090049546e-05)]
MAR04048	[np.float64(6.570980090049546e-05)]
MAR04080	[np.float64(6.570980090049546e-05)]
MAR04085	[3.0059850719399458e-05]
MAR04086	[3.0059850719399458e-05]
MAR04134	[np.float64(6.570980090049546e-05)]
MAR04135	[3.952935067578193e-05]
MAR04168	[3.347915755634574e-05]
MAR04171	[2.911450790225425e-05]
MAR04290	[np.float64(6.570980090049546e-05)]
MAR04406	[np.float64(6.570980090049546e-05)]
MAR04412	[np.float64(6.570980090049546e-05)]
MAR04417	[np.float64(6.570980090049546e-05)]
MAR04418	[5.5199246185587674e-05]
MAR04419	[np.float64(6.570980090049546e-05)]
MAR04421	[2.911450790225425e-05]
MAR04449	[np.float64(6.570980090049546e-05)]
MAR04450	[np.float64(6.570980090049546e-05)]
MAR04451	[7.735074205726712e-05]
MAR04452	[5.5199246185587674e-05]
MAR04453	[np.float64(6.570980090049546e-05)]
MAR04480	[5.650951604513188e-05]
MAR04481	[np.float64(6.570980090049546e-05)]
MAR04482	[np.float64(6.570980090049546e-05)]
MAR04486	[np.float64(6.570980090049546e-05)]
