opt_fraction	R_value	p_value
0.1	0.26253414895523824	1.6342094954676583e-08
0.2	0.26260763349321536	1.618713506733033e-08
0.3	0.26229406211587886	1.882068375133557e-08
0.4	0.1656732949042451	0.00027088605522004584
0.5	0.22442603982329484	1.098685800056729e-06
0.6	0.24921756381798402	3.468374781875284e-08
0.7	0.2423085575120412	6.14818696682799e-08
0.8	0.21691189733498842	1.133285856234227e-06
0.9	0.18671564267614066	2.5056072012777755e-05
0.15	0.2582962780197245	2.7186139904678738e-08
0.25	0.25762831035668426	2.9602060890632878e-08
0.225	0.2596938705631724	2.3565147139137364e-08
0.175	0.2572831237495647	2.9857916194368665e-08
0.187	0.2545629297242394	4.5152216377652646e-08
0.213	0.2626125741742516	1.6176767632788293e-08
