reaction	linear_coefficient
MAR08502	[3.728206335263105e-05]
MAR08503	[np.float64(9.858754595081572e-05)]
MAR08504	[np.float64(9.858754595081572e-05)]
MAR08506	[np.float64(9.858754595081572e-05)]
MAR08507	[3.728206335263105e-05]
MAR08508	[3.728206335263105e-05]
MAR08509	[3.728206335263105e-05]
MAR08511	[np.float64(9.858754595081572e-05)]
MAR08512	[0.004976056526263763]
MAR08514	[0.004976056526263763]
MAR08516	[np.float64(9.858754595081572e-05)]
MAR08517	[np.float64(9.858754595081572e-05)]
MAR04280	[np.float64(9.858754595081572e-05)]
MAR00153	[np.float64(9.858754595081572e-05)]
MAR03212	[np.float64(9.858754595081572e-05)]
MAR03797	[np.float64(9.858754595081572e-05)]
MAR03800	[np.float64(9.858754595081572e-05)]
MAR04105	[0.00459697388961915]
MAR04106	[0.00459697388961915]
MAR04107	[0.00459697388961915]
MAR04282	[np.float64(9.858754595081572e-05)]
MAR04331	[np.float64(9.858754595081572e-05)]
MAR04459	[np.float64(9.858754595081572e-05)]
MAR04460	[np.float64(9.858754595081572e-05)]
MAR04464	[np.float64(9.858754595081572e-05)]
MAR04497	[3.728206335263105e-05]
MAR04741	[np.float64(9.858754595081572e-05)]
MAR08078	[np.float64(9.858754595081572e-05)]
MAR09803	[np.float64(9.858754595081572e-05)]
MAR09804	[3.728206335263105e-05]
MAR00718	[np.float64(9.858754595081572e-05)]
MAR00719	[np.float64(9.858754595081572e-05)]
MAR01434	[np.float64(9.858754595081572e-05)]
MAR01436	[np.float64(9.858754595081572e-05)]
MAR03163	[np.float64(9.858754595081572e-05)]
MAR04461	[np.float64(9.858754595081572e-05)]
MAR04604	[np.float64(9.858754595081572e-05)]
MAR05351	[np.float64(9.858754595081572e-05)]
MAR07709	[np.float64(9.858754595081572e-05)]
MAR04052	[3.728206335263105e-05]
MAR04304	[3.728206335263105e-05]
MAR04350	[np.float64(9.858754595081572e-05)]
MAR04351	[np.float64(9.858754595081572e-05)]
MAR04352	[np.float64(9.858754595081572e-05)]
MAR04354	[np.float64(9.858754595081572e-05)]
MAR04398	[np.float64(9.858754595081572e-05)]
MAR04404	[3.891759217537176e-05]
MAR04473	[4.188352170862891e-05]
MAR04474	[4.188352170862891e-05]
MAR04476	[np.float64(9.858754595081572e-05)]
MAR04477	[np.float64(9.858754595081572e-05)]
MAR04501	[3.891759217537176e-05]
MAR04565	[3.728206335263105e-05]
MAR04567	[5.777711090937276e-05]
MAR09799	[np.float64(9.858754595081572e-05)]
MAR09800	[0.00459697388961915]
MAR04623	[np.float64(9.858754595081572e-05)]
MAR04625	[np.float64(9.858754595081572e-05)]
MAR04710	[np.float64(9.858754595081572e-05)]
MAR04841	[np.float64(9.858754595081572e-05)]
MAR08074	[np.float64(9.858754595081572e-05)]
MAR08653	[np.float64(9.858754595081572e-05)]
MAR03998	[7.814251217446359e-05]
MAR04000	[np.float64(9.858754595081572e-05)]
