opt_fraction	R_value	p_value
0.1	0.2830847169364721	4.129166385964427e-10
0.2	0.28852334777236527	1.6800358543758776e-10
0.3	0.2881059879007181	1.7893980437003604e-10
0.4	0.30972415300526085	7.300949233066012e-12
0.5	0.29523944977997635	4.3317229001708466e-11
0.6	0.2800685423147487	3.2884860261866876e-10
0.7	0.23481823068260138	1.149702909355441e-07
0.8	0.2469736745220972	2.4233403571438974e-08
0.9	0.1786195018740591	4.269727591274564e-05
0.35	0.2741299617846888	1.2861429419459589e-09
0.375	0.2950550254164094	7.103421741029227e-11
0.387	0.3081953462697692	9.356668105311026e-12
0.425	0.31485442521325224	2.979405450739762e-12
0.45	0.2712357642767471	2.4583363531705883e-09
0.413	0.3085575935847666	9.285873131609943e-12
