reaction	linear_coefficient
MAR04572	[np.float64(7.456973094148011e-05)]
MAR04006	[np.float64(7.456973094148011e-05)]
MAR04028	[np.float64(7.456973094148011e-05)]
MAR04030	[np.float64(7.456973094148011e-05)]
MAR04670	[np.float64(7.456973094148011e-05)]
MAR04673	[np.float64(7.456973094148011e-05)]
MAR04675	[np.float64(7.456973094148011e-05)]
MAR06614	[np.float64(7.456973094148011e-05)]
MAR06615	[np.float64(7.456973094148011e-05)]
MAR06616	[np.float64(7.456973094148011e-05)]
MAR04635	[np.float64(7.456973094148011e-05)]
MAR03793	[0.015956857496100273]
MAR03931	[np.float64(7.456973094148011e-05)]
MAR03969	[np.float64(7.456973094148011e-05)]
MAR03970	[np.float64(7.456973094148011e-05)]
MAR04008	[np.float64(7.456973094148011e-05)]
MAR04032	[np.float64(7.456973094148011e-05)]
MAR04034	[np.float64(7.456973094148011e-05)]
MAR04036	[np.float64(7.456973094148011e-05)]
MAR04050	[np.float64(7.456973094148011e-05)]
MAR04056	[np.float64(7.456973094148011e-05)]
MAR04059	[np.float64(7.456973094148011e-05)]
MAR04060	[np.float64(7.456973094148011e-05)]
MAR04127	[np.float64(7.456973094148011e-05)]
MAR04177	[np.float64(7.456973094148011e-05)]
MAR04179	[np.float64(7.456973094148011e-05)]
MAR04182	[np.float64(7.456973094148011e-05)]
MAR04183	[np.float64(7.456973094148011e-05)]
MAR04192	[np.float64(7.456973094148011e-05)]
MAR04194	[np.float64(7.456973094148011e-05)]
MAR04210	[2.8841287887561833e-05]
MAR04211	[5.306890242565636e-05]
MAR04343	[np.float64(7.456973094148011e-05)]
MAR04345	[np.float64(7.456973094148011e-05)]
MAR04346	[np.float64(7.456973094148011e-05)]
MAR04470	[np.float64(7.456973094148011e-05)]
MAR04471	[np.float64(7.456973094148011e-05)]
MAR04472	[np.float64(7.456973094148011e-05)]
MAR04484	[np.float64(7.456973094148011e-05)]
MAR04485	[np.float64(7.456973094148011e-05)]
MAR04510	[np.float64(7.456973094148011e-05)]
MAR04512	[np.float64(7.456973094148011e-05)]
MAR04513	[np.float64(7.456973094148011e-05)]
MAR04514	[3.0005641039383883e-05]
MAR04577	[np.float64(7.456973094148011e-05)]
MAR04579	[np.float64(7.456973094148011e-05)]
MAR04580	[3.0005641039383883e-05]
MAR04608	[np.float64(7.456973094148011e-05)]
MAR04575	[np.float64(7.456973094148011e-05)]
MAR04637	[6.448008502800297e-05]
MAR04642	[np.float64(7.456973094148011e-05)]
MAR04643	[5.306890242565636e-05]
MAR04644	[np.float64(7.456973094148011e-05)]
MAR04672	[0.00013277844040396965]
MAR04676	[np.float64(7.456973094148011e-05)]
MAR04736	[0.015956857496100273]
MAR04819	[0.012613840959470973]
MAR05299	[np.float64(7.456973094148011e-05)]
MAR05352	[np.float64(7.456973094148011e-05)]
MAR05415	[2.8841287887561833e-05]
MAR05416	[2.8841287887561833e-05]
MAR05417	[np.float64(7.456973094148011e-05)]
MAR06612	[6.448008502800297e-05]
MAR06613	[6.448008502800297e-05]
MAR06621	[2.8841287887561833e-05]
MAR06622	[2.8841287887561833e-05]
MAR06623	[2.9100737330055287e-05]
MAR06624	[np.float64(7.456973094148011e-05)]
MAR06627	[2.8841287887561833e-05]
MAR07744	[np.float64(7.456973094148011e-05)]
MAR08072	[0.00013277844040396965]
MAR08637	[0.00013277844040396965]
MAR03965	[5.525383120354183e-05]
MAR03966	[5.306890242565636e-05]
MAR03967	[np.float64(7.456973094148011e-05)]
MAR03968	[6.448008502800297e-05]
MAR03999	[np.float64(7.456973094148011e-05)]
MAR04024	[np.float64(7.456973094148011e-05)]
MAR04026	[0.0038528909361722403]
MAR04054	[2.9100737330055287e-05]
MAR04061	[np.float64(7.456973094148011e-05)]
MAR04083	[4.067851433658209e-05]
MAR04136	[2.8841287887561833e-05]
MAR04180	[np.float64(7.456973094148011e-05)]
MAR04185	[np.float64(7.456973094148011e-05)]
MAR04186	[np.float64(7.456973094148011e-05)]
MAR04342	[np.float64(7.456973094148011e-05)]
MAR04344	[0.00013277844040396965]
MAR04483	[np.float64(7.456973094148011e-05)]
MAR04507	[np.float64(7.456973094148011e-05)]
MAR04516	[5.9480174330393227e-05]
MAR04601	[np.float64(7.456973094148011e-05)]
MAR04633	[np.float64(7.456973094148011e-05)]
MAR04640	[6.448008502800297e-05]
MAR04641	[2.9100737330055287e-05]
MAR04680	[np.float64(7.456973094148011e-05)]
MAR04806	[np.float64(7.456973094148011e-05)]
MAR05394	[0.00013277844040396965]
MAR06625	[np.float64(7.456973094148011e-05)]
MAR06626	[np.float64(7.456973094148011e-05)]
MAR07160	[3.064539280511385e-05]
MAR07161	[3.092859332491893e-05]
MAR07162	[3.092859332491893e-05]
MAR07163	[np.float64(7.456973094148011e-05)]
MAR07164	[np.float64(7.456973094148011e-05)]
MAR07713	[np.float64(7.456973094148011e-05)]
MAR07716	[np.float64(7.456973094148011e-05)]
MAR07717	[np.float64(7.456973094148011e-05)]
MAR07721	[np.float64(7.456973094148011e-05)]
MAR07725	[np.float64(7.456973094148011e-05)]
MAR07728	[np.float64(7.456973094148011e-05)]
MAR07800	[0.012613840959470973]
MAR07801	[np.float64(7.456973094148011e-05)]
MAR07802	[0.012613840959470973]
MAR07863	[np.float64(7.456973094148011e-05)]
MAR07864	[np.float64(7.456973094148011e-05)]
MAR07865	[np.float64(7.456973094148011e-05)]
MAR07866	[np.float64(7.456973094148011e-05)]
MAR07867	[np.float64(7.456973094148011e-05)]
MAR07868	[np.float64(7.456973094148011e-05)]
MAR07869	[np.float64(7.456973094148011e-05)]
MAR07870	[np.float64(7.456973094148011e-05)]
MAR07871	[np.float64(7.456973094148011e-05)]
MAR07872	[np.float64(7.456973094148011e-05)]
MAR07873	[np.float64(7.456973094148011e-05)]
MAR07874	[np.float64(7.456973094148011e-05)]
MAR07875	[0.0038528909361722403]
MAR07876	[np.float64(7.456973094148011e-05)]
MAR07878	[np.float64(7.456973094148011e-05)]
MAR07879	[5.306890242565636e-05]
MAR07880	[np.float64(7.456973094148011e-05)]
MAR07881	[np.float64(7.456973094148011e-05)]
MAR07882	[np.float64(7.456973094148011e-05)]
MAR07883	[np.float64(7.456973094148011e-05)]
MAR07884	[np.float64(7.456973094148011e-05)]
MAR07885	[np.float64(7.456973094148011e-05)]
MAR07886	[np.float64(7.456973094148011e-05)]
MAR07887	[np.float64(7.456973094148011e-05)]
MAR07888	[np.float64(7.456973094148011e-05)]
MAR07889	[np.float64(7.456973094148011e-05)]
MAR07890	[np.float64(7.456973094148011e-05)]
MAR07891	[np.float64(7.456973094148011e-05)]
MAR07892	[np.float64(7.456973094148011e-05)]
MAR07893	[np.float64(7.456973094148011e-05)]
MAR07894	[np.float64(7.456973094148011e-05)]
MAR07895	[np.float64(7.456973094148011e-05)]
MAR08083	[np.float64(7.456973094148011e-05)]
MAR08085	[np.float64(7.456973094148011e-05)]
MAR08087	[np.float64(7.456973094148011e-05)]
MAR08443	[np.float64(7.456973094148011e-05)]
MAR08444	[np.float64(7.456973094148011e-05)]
MAR08445	[np.float64(7.456973094148011e-05)]
MAR08446	[0.015956857496100273]
MAR08448	[np.float64(7.456973094148011e-05)]
MAR08449	[np.float64(7.456973094148011e-05)]
MAR08450	[np.float64(7.456973094148011e-05)]
MAR08451	[np.float64(7.456973094148011e-05)]
MAR08452	[np.float64(7.456973094148011e-05)]
MAR08453	[np.float64(7.456973094148011e-05)]
MAR08454	[np.float64(7.456973094148011e-05)]
MAR08455	[np.float64(7.456973094148011e-05)]
MAR08456	[np.float64(7.456973094148011e-05)]
MAR08457	[np.float64(7.456973094148011e-05)]
MAR08458	[np.float64(7.456973094148011e-05)]
MAR08459	[np.float64(7.456973094148011e-05)]
MAR08460	[np.float64(7.456973094148011e-05)]
MAR08461	[0.012613840959470973]
MAR08462	[np.float64(7.456973094148011e-05)]
MAR08463	[np.float64(7.456973094148011e-05)]
MAR08464	[np.float64(7.456973094148011e-05)]
MAR08465	[np.float64(7.456973094148011e-05)]
MAR08466	[np.float64(7.456973094148011e-05)]
MAR08467	[np.float64(7.456973094148011e-05)]
MAR08468	[np.float64(7.456973094148011e-05)]
MAR08469	[np.float64(7.456973094148011e-05)]
MAR08470	[np.float64(7.456973094148011e-05)]
MAR08471	[np.float64(7.456973094148011e-05)]
MAR08472	[np.float64(7.456973094148011e-05)]
MAR08473	[np.float64(7.456973094148011e-05)]
MAR08474	[np.float64(7.456973094148011e-05)]
MAR08477	[np.float64(7.456973094148011e-05)]
MAR08478	[np.float64(7.456973094148011e-05)]
MAR08479	[np.float64(7.456973094148011e-05)]
MAR08480	[0.015956857496100273]
MAR08481	[0.00013277844040396965]
MAR08482	[np.float64(7.456973094148011e-05)]
MAR08483	[5.525383120354183e-05]
MAR08484	[0.00013277844040396965]
MAR08485	[np.float64(7.456973094148011e-05)]
MAR08486	[np.float64(7.456973094148011e-05)]
MAR08487	[np.float64(7.456973094148011e-05)]
MAR08488	[5.306890242565636e-05]
MAR08489	[5.306890242565636e-05]
MAR08493	[np.float64(7.456973094148011e-05)]
MAR08494	[np.float64(7.456973094148011e-05)]
MAR08495	[np.float64(7.456973094148011e-05)]
MAR03802	[2.9457860559373696e-05]
MAR03804	[2.9457860559373696e-05]
MAR03811	[np.float64(7.456973094148011e-05)]
MAR03813	[np.float64(7.456973094148011e-05)]
MAR03822	[np.float64(7.456973094148011e-05)]
MAR03827	[3.0451499156558264e-05]
MAR03829	[np.float64(7.456973094148011e-05)]
MAR03862	[0.00582803469415637]
MAR03865	[3.0451499156558264e-05]
MAR03870	[np.float64(7.456973094148011e-05)]
MAR03873	[0.0038528909361722403]
MAR08654	[0.0038528909361722403]
MAR03890	[np.float64(7.456973094148011e-05)]
MAR03892	[np.float64(7.456973094148011e-05)]
MAR09802	[0.00639132310635336]
MAR03899	[np.float64(7.456973094148011e-05)]
MAR03903	[0.00012307392989194986]
MAR04109	[np.float64(7.456973094148011e-05)]
MAR04114	[np.float64(7.456973094148011e-05)]
MAR04115	[np.float64(7.456973094148011e-05)]
MAR04118	[np.float64(7.456973094148011e-05)]
MAR04172	[0.00582803469415637]
MAR04196	[np.float64(7.456973094148011e-05)]
MAR04197	[np.float64(7.456973094148011e-05)]
MAR04287	[2.8841287887561833e-05]
MAR04690	[np.float64(7.456973094148011e-05)]
MAR04693	[np.float64(7.456973094148011e-05)]
MAR06780	[3.0451499156558264e-05]
MAR06968	[np.float64(7.456973094148011e-05)]
MAR06969	[0.015956857496100273]
MAR06970	[np.float64(7.456973094148011e-05)]
MAR06971	[3.610771761399455e-05]
MAR06972	[3.610771761399455e-05]
MAR07641	[0.005472296504682771]
MAR07642	[0.00013277844040396965]
MAR08626	[0.005472296504682771]
MAR08628	[0.015956857496100273]
MAR03806	[np.float64(7.456973094148011e-05)]
MAR03807	[3.0443152899942364e-05]
MAR03809	[0.015956857496100273]
MAR03816	[0.005472296504682771]
MAR03819	[np.float64(7.456973094148011e-05)]
MAR03820	[np.float64(7.456973094148011e-05)]
MAR03832	[0.00013277844040396965]
MAR03833	[np.float64(7.456973094148011e-05)]
MAR03835	[np.float64(7.456973094148011e-05)]
MAR03837	[np.float64(7.456973094148011e-05)]
MAR03895	[np.float64(7.456973094148011e-05)]
MAR03897	[np.float64(7.456973094148011e-05)]
MAR03956	[7.478461831564201e-05]
MAR03993	[np.float64(7.456973094148011e-05)]
MAR04073	[np.float64(7.456973094148011e-05)]
MAR04075	[3.403269217263376e-05]
MAR04077	[3.092859332491893e-05]
MAR04190	[np.float64(7.456973094148011e-05)]
MAR04191	[np.float64(7.456973094148011e-05)]
MAR04212	[np.float64(7.456973094148011e-05)]
MAR04422	[np.float64(7.456973094148011e-05)]
MAR04423	[np.float64(7.456973094148011e-05)]
MAR04424	[0.0061040911240064985]
MAR04583	[np.float64(7.456973094148011e-05)]
MAR04605	[np.float64(7.456973094148011e-05)]
MAR04606	[0.004952921735942963]
MAR04607	[np.float64(7.456973094148011e-05)]
MAR04776	[np.float64(7.456973094148011e-05)]
MAR04777	[np.float64(7.456973094148011e-05)]
MAR04778	[np.float64(7.456973094148011e-05)]
MAR04779	[np.float64(7.456973094148011e-05)]
MAR04780	[np.float64(7.456973094148011e-05)]
MAR04781	[np.float64(7.456973094148011e-05)]
MAR04784	[np.float64(7.456973094148011e-05)]
MAR04785	[np.float64(7.456973094148011e-05)]
MAR04786	[3.0451499156558264e-05]
MAR04787	[0.00011122499709339157]
MAR05384	[np.float64(7.456973094148011e-05)]
MAR06929	[np.float64(7.456973094148011e-05)]
MAR06930	[np.float64(7.456973094148011e-05)]
MAR06931	[np.float64(7.456973094148011e-05)]
MAR06932	[np.float64(7.456973094148011e-05)]
MAR06933	[np.float64(7.456973094148011e-05)]
MAR06934	[np.float64(7.456973094148011e-05)]
MAR06935	[np.float64(7.456973094148011e-05)]
MAR06936	[np.float64(7.456973094148011e-05)]
MAR06938	[np.float64(7.456973094148011e-05)]
MAR06939	[np.float64(7.456973094148011e-05)]
MAR06940	[0.00013277844040396965]
MAR06941	[np.float64(7.456973094148011e-05)]
MAR06942	[np.float64(7.456973094148011e-05)]
MAR06943	[np.float64(7.456973094148011e-05)]
MAR06944	[np.float64(7.456973094148011e-05)]
MAR06945	[np.float64(7.456973094148011e-05)]
MAR06946	[np.float64(7.456973094148011e-05)]
MAR06947	[np.float64(7.456973094148011e-05)]
MAR06948	[np.float64(7.456973094148011e-05)]
MAR06949	[np.float64(7.456973094148011e-05)]
MAR06950	[np.float64(7.456973094148011e-05)]
MAR06951	[np.float64(7.456973094148011e-05)]
MAR06952	[np.float64(7.456973094148011e-05)]
MAR06953	[np.float64(7.456973094148011e-05)]
MAR06954	[np.float64(7.456973094148011e-05)]
MAR06955	[0.00013277844040396965]
MAR06956	[0.00013277844040396965]
MAR06957	[0.00013277844040396965]
MAR06958	[np.float64(7.456973094148011e-05)]
MAR06959	[np.float64(7.456973094148011e-05)]
MAR06960	[0.00013277844040396965]
MAR06961	[np.float64(7.456973094148011e-05)]
MAR06962	[np.float64(7.456973094148011e-05)]
