opt_fraction	R_value	p_value
0.1	0.19652292880161717	1.1764196080104711e-05
0.2	0.19453058487079042	1.4469296053889184e-05
0.3	0.19551021846849906	1.307267933904673e-05
0.4	0.20334349250929568	6.365685366031301e-06
0.5	0.2210158578673608	9.317495259558228e-07
0.6	0.21795834175452575	1.358885855409734e-06
0.7	0.24747544027158588	1.9252995556013244e-08
0.8	0.18125695552744345	3.508015368890303e-05
0.9	0.1738807408919554	6.29881972220579e-05
0.65	0.21901419707906883	8.864569015076368e-07
0.75	0.19320184644297714	1.0915358139655434e-05
0.725	0.23448361359303346	8.957540492461144e-08
0.687	0.2462258455161012	2.5111786884621323e-08
0.675	0.25088459571268434	1.2920257528135712e-08
0.713	0.26658325648967196	1.2938703686801353e-09
