reaction	linear_coefficient
MAR04319	[np.float64(6.713308228060648e-05)]
MAR04320	[np.float64(6.713308228060648e-05)]
MAR04356	[np.float64(6.713308228060648e-05)]
MAR04383	[np.float64(6.713308228060648e-05)]
MAR04385	[np.float64(6.713308228060648e-05)]
MAR04386	[np.float64(6.713308228060648e-05)]
MAR04387	[np.float64(6.713308228060648e-05)]
MAR04399	[8.4310167750605e-05]
MAR04400	[np.float64(6.713308228060648e-05)]
MAR04401	[np.float64(6.713308228060648e-05)]
MAR04402	[np.float64(6.713308228060648e-05)]
MAR04403	[8.4310167750605e-05]
MAR04490	[np.float64(6.713308228060648e-05)]
MAR04706	[np.float64(6.713308228060648e-05)]
MAR08768	[np.float64(6.713308228060648e-05)]
MAR04590	[np.float64(6.713308228060648e-05)]
MAR04591	[np.float64(6.713308228060648e-05)]
MAR04592	[np.float64(6.713308228060648e-05)]
MAR04593	[np.float64(6.713308228060648e-05)]
MAR04594	[np.float64(6.713308228060648e-05)]
MAR04595	[np.float64(6.713308228060648e-05)]
MAR08341	[np.float64(6.713308228060648e-05)]
MAR08342	[8.4310167750605e-05]
MAR08344	[np.float64(6.713308228060648e-05)]
MAR08352	[0.004710908773887676]
MAR08353	[8.4310167750605e-05]
MAR08726	[0.004214386547489437]
MAR08727	[np.float64(6.713308228060648e-05)]
MAR08728	[8.4310167750605e-05]
MAR08729	[np.float64(6.713308228060648e-05)]
MAR06537	[np.float64(6.713308228060648e-05)]
MAR01568	[np.float64(6.713308228060648e-05)]
MAR03853	[2.9037379183842352e-05]
MAR03854	[np.float64(6.713308228060648e-05)]
MAR03855	[np.float64(6.713308228060648e-05)]
MAR03857	[np.float64(6.713308228060648e-05)]
MAR03859	[0.004214386547489437]
MAR04087	[np.float64(6.713308228060648e-05)]
MAR04089	[np.float64(6.713308228060648e-05)]
MAR04091	[np.float64(6.713308228060648e-05)]
MAR04093	[0.00906218291663845]
MAR04095	[0.00906218291663845]
MAR04101	[0.00906218291663845]
MAR04103	[np.float64(6.713308228060648e-05)]
MAR04143	[np.float64(6.713308228060648e-05)]
MAR04193	[2.9037379183842352e-05]
MAR08497	[np.float64(6.713308228060648e-05)]
MAR08498	[0.004214386547489437]
MAR08499	[0.004214386547489437]
MAR08500	[np.float64(6.713308228060648e-05)]
MAR08501	[np.float64(6.713308228060648e-05)]
MAR08502	[np.float64(6.713308228060648e-05)]
MAR08503	[np.float64(6.713308228060648e-05)]
MAR08504	[np.float64(6.713308228060648e-05)]
MAR08506	[np.float64(6.713308228060648e-05)]
MAR08507	[np.float64(6.713308228060648e-05)]
MAR08508	[np.float64(6.713308228060648e-05)]
MAR08509	[np.float64(6.713308228060648e-05)]
MAR08511	[np.float64(6.713308228060648e-05)]
MAR08512	[0.005489941701390298]
MAR08514	[0.004214386547489437]
MAR08516	[np.float64(6.713308228060648e-05)]
MAR08517	[8.4310167750605e-05]
MAR04280	[np.float64(6.713308228060648e-05)]
MAR00153	[np.float64(6.713308228060648e-05)]
MAR03212	[np.float64(6.713308228060648e-05)]
MAR03797	[np.float64(6.713308228060648e-05)]
MAR03800	[8.4310167750605e-05]
MAR04105	[np.float64(6.713308228060648e-05)]
MAR04106	[np.float64(6.713308228060648e-05)]
MAR04107	[np.float64(6.713308228060648e-05)]
MAR04282	[0.004214386547489437]
